"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-11-12,"MMSD-P18",68,107,57
2020-11-12,"MMSD-P2",66,83,94
2020-11-12,"MMSD-P7",22,34,28
2020-11-12,"MMSD-P8",39,47,27
2020-11-13,"MMSD-P11",74,89,42
2020-11-13,"MMSD-P18",98,84,47
2020-11-13,"MMSD-P2",94,116,90
2020-11-13,"MMSD-P7",23,21,19
2020-11-13,"MMSD-P8",25,35,30
2020-11-14,"MMSD-P11",66,61,95
2020-11-14,"MMSD-P18",79,80,77
2020-11-14,"MMSD-P2",50,32,56
2020-11-14,"MMSD-P7",28,30,22
2020-11-14,"MMSD-P8",24,22,30
2020-11-15,"MMSD-P11",50,12,112
2020-11-15,"MMSD-P18",50,25,92
2020-11-15,"MMSD-P2",42,8,67
2020-11-15,"MMSD-P7",14,6,26
2020-11-15,"MMSD-P8",17,11,42
2020-11-16,"MMSD-P11",64,63,127
2020-11-16,"MMSD-P18",68,66,145
2020-11-16,"MMSD-P2",65,84,131
2020-11-16,"MMSD-P7",19,31,33
2020-11-16,"MMSD-P8",37,32,47
2020-11-17,"MMSD-P11",67,117,97
2020-11-17,"MMSD-P18",110,112,118
2020-11-17,"MMSD-P2",57,90,97
2020-11-17,"MMSD-P7",24,30,48
2020-11-17,"MMSD-P8",34,33,32
2020-11-18,"MMSD-P11",58,79,44
2020-11-18,"MMSD-P18",75,98,71
2020-11-18,"MMSD-P2",74,90,69
2020-11-18,"MMSD-P7",37,34,23
2020-11-18,"MMSD-P8",25,37,34
2020-11-19,"MMSD-P11",65,75,128
2020-11-19,"MMSD-P18",81,92,104
2020-11-19,"MMSD-P2",44,58,73
2020-11-19,"MMSD-P7",19,29,31
2020-11-19,"MMSD-P8",33,38,34
2020-11-20,"MMSD-P11",65,66,50
2020-11-20,"MMSD-P18",70,69,63
2020-11-20,"MMSD-P2",76,89,60
2020-11-20,"MMSD-P7",22,20,32
2020-11-20,"MMSD-P8",23,27,23
2020-11-21,"MMSD-P11",47,57,33
2020-11-21,"MMSD-P18",52,60,43
2020-11-21,"MMSD-P2",22,28,32
2020-11-21,"MMSD-P7",17,15,13
2020-11-21,"MMSD-P8",23,23,21
2020-11-22,"MMSD-P11",44,22,13
2020-11-22,"MMSD-P18",32,28,15
2020-11-22,"MMSD-P2",23,10,60
2020-11-22,"MMSD-P7",6,5,2
2020-11-22,"MMSD-P8",11,9,9
2020-11-23,"MMSD-P11",48,40,152
2020-11-23,"MMSD-P18",52,58,189
2020-11-23,"MMSD-P2",35,43,81
2020-11-23,"MMSD-P7",17,12,52
2020-11-23,"MMSD-P8",31,36,67
2020-11-24,"MMSD-P11",64,72,45
2020-11-24,"MMSD-P18",63,78,52
2020-11-24,"MMSD-P2",29,40,48
2020-11-24,"MMSD-P7",17,19,11
2020-11-24,"MMSD-P8",34,34,25
2020-11-25,"MMSD-P11",71,63,65
2020-11-25,"MMSD-P18",56,63,83
2020-11-25,"MMSD-P2",18,28,41
2020-11-25,"MMSD-P7",21,20,18
2020-11-25,"MMSD-P8",38,29,39
2020-11-26,"MMSD-P11",35,18,5
2020-11-26,"MMSD-P18",30,11,17
2020-11-26,"MMSD-P2",16,5,4
2020-11-26,"MMSD-P7",13,5,NA
2020-11-26,"MMSD-P8",11,4,9
2020-11-27,"MMSD-P11",77,89,94
2020-11-27,"MMSD-P18",57,63,79
2020-11-27,"MMSD-P2",22,19,28
2020-11-27,"MMSD-P7",25,35,34
2020-11-27,"MMSD-P8",29,37,35
2020-11-28,"MMSD-P11",46,44,86
2020-11-28,"MMSD-P18",62,44,68
2020-11-28,"MMSD-P2",39,27,26
2020-11-28,"MMSD-P7",21,18,31
2020-11-28,"MMSD-P8",19,26,32
2020-11-29,"MMSD-P11",42,25,54
2020-11-29,"MMSD-P18",45,16,43
2020-11-29,"MMSD-P2",17,6,16
2020-11-29,"MMSD-P7",19,7,19
2020-11-29,"MMSD-P8",15,6,29
2020-11-30,"MMSD-P11",56,63,30
2020-11-30,"MMSD-P18",54,59,18
2020-11-30,"MMSD-P2",36,40,14
2020-11-30,"MMSD-P7",8,11,8
2020-11-30,"MMSD-P8",26,27,12
2020-12-01,"MMSD-P11",47,93,51
2020-12-01,"MMSD-P18",70,87,46
2020-12-01,"MMSD-P2",39,44,34
2020-12-01,"MMSD-P7",34,34,10
2020-12-01,"MMSD-P8",22,31,20
2020-12-02,"MMSD-P11",47,52,74
2020-12-02,"MMSD-P18",50,69,83
2020-12-02,"MMSD-P2",27,40,44
2020-12-02,"MMSD-P7",24,39,28
2020-12-02,"MMSD-P8",31,37,27
2020-12-03,"MMSD-P11",38,38,56
2020-12-03,"MMSD-P18",49,68,63
2020-12-03,"MMSD-P2",38,41,40
2020-12-03,"MMSD-P7",11,15,36
2020-12-03,"MMSD-P8",16,18,34
2020-12-04,"MMSD-P11",35,34,40
2020-12-04,"MMSD-P18",41,53,59
2020-12-04,"MMSD-P2",28,34,36
2020-12-04,"MMSD-P7",15,17,14
2020-12-04,"MMSD-P8",14,15,15
2020-12-05,"MMSD-P11",32,37,24
2020-12-05,"MMSD-P18",29,29,29
