"Date","Site","FirstConfirmed"
2021-01-13,"Racine Wastewater Utility",58
2021-01-13,"Red Cliff WWTP",1
2021-01-13,"Rhinelander WWTP",7
2021-01-13,"Rib Mountain MSD WWTF",9
2021-01-13,"River Falls Municipal Utility WWTF",4
2021-01-13,"Sheboygan WWTP",19
2021-01-13,"South Milwaukee WWTF",14
2021-01-13,"Sparta WWTF",6
2021-01-13,"Spencer WWTP",1
2021-01-13,"Spooner WWTP",3
2021-01-13,"Stevens Point WWTF",7
2021-01-13,"Sturgeon Bay Utilities WWTF",7
2021-01-13,"Sun Prairie WWTF",13
2021-01-13,"Superior WWTP",12
2021-01-13,"Watertown WWTP",14
2021-01-13,"Waukesha WWTP",40
2021-01-13,"Waupaca WWTF",3
2021-01-13,"Wausau Water Works WWTF",13
2021-01-13,"Whitewater WWTF",2
2021-01-13,"Wisconsin Rapids WWTF",4
2022-01-13,"Algoma WWTF",11
2022-01-13,"Appleton WWTF",312
2022-01-13,"Ashland Sewage Utility",10
2022-01-13,"Baraboo WWTF",61
2022-01-13,"Beloit WWTF",168
2022-01-13,"Berlin WWTF",11
2022-01-13,"Black River Falls WWTF",12
2022-01-13,"Burlington WPCC",29
2022-01-13,"Cedarburg WWTF",37
2022-01-13,"Chippewa Falls WWTF",58
2022-01-13,"Clintonville Wastewater Utility",12
2022-01-13,"Columbus WWTF",22
2022-01-13,"De Pere WWTF",226
2022-01-13,"Eau Claire WWTF",353
2022-01-13,"Fox River WPCC",55
2022-01-13,"Grafton Water & Wastewater Utility",43
2022-01-13,"Green Bay MSD",834
2022-01-13,"Hartford WPCF",41
2022-01-13,"Hayward WPCF",11
2022-01-13,"Heart of the Valley MSD",157
2022-01-13,"Hudson WWTF",52
2022-01-13,"Janesville WW Utility",201
2022-01-13,"Kenosha WWTF",467
2022-01-13,"La Crosse WWTP",287
2022-01-13,"Lac du Flambeau Tribal Water & Sewer",8
2022-01-13,"Lake Geneva WWTP",20
2022-01-13,"Lodi WWTF",10
2022-01-13,"Madison MSD WWTF",1151
2022-01-13,"Manitowoc WWTF",122
2022-01-13,"Marinette Wastewater Utility",27
2022-01-13,"Marshfield WWTF",45
2022-01-13,"Mauston WWTF",15
2022-01-13,"Menomonie WWTF",60
2022-01-13,"Merrill WWTP",20
2022-01-13,"Milwaukee MSD Jones Island",1129
2022-01-13,"Milwaukee MSD South Shore",1683
2022-01-13,"Monroe WWTF",38
2022-01-13,"New Richmond WWTF",46
2022-01-13,"Oconomowoc WWTP",70
2022-01-13,"Oshkosh WWTP",312
2022-01-13,"Peshtigo WWTF",22
2022-01-13,"Platteville WWTF",16
2022-01-13,"Plymouth Utilities WWTF",22
2022-01-13,"Port Washington WWTP",34
2022-01-13,"Portage WWTF",27
2022-01-13,"Racine Wastewater Utility",431
2022-01-13,"Rhinelander WWTP",19
2022-01-13,"Rib Lake WWTF",1
2022-01-13,"Rib Mountain MSD WWTF",186
2022-01-13,"River Falls Municipal Utility WWTF",39
2022-01-13,"Sheboygan WWTP",148
2022-01-13,"South Milwaukee WWTF",79
2022-01-13,"Sparta WWTF",52
2022-01-13,"Spencer WWTP",12
2022-01-13,"Spooner WWTP",9
