"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"492",2021-07-12,"MMSD-P8",107,49,107,55
"493",2021-07-12,"MMSD-P7",51,56,43,46
"494",2021-07-12,"MMSD-P2",54,56,51,50
"495",2021-07-13,"Madison",174,272,110,275
"496",2021-07-14,"Madison",119,391,118,227
"497",2021-07-15,"Madison",392,392,166,40
"498",2021-07-15,"MMSD-P2",47,51,46,106
"499",2021-07-15,"MMSD-P7",46,33,51,51
"500",2021-07-15,"MMSD-P8",47,41,43,38
"501",2021-07-15,"MMSD-P11",43,43,105,47
"502",2021-07-15,"MMSD-P18",23,44,27,39
"503",2021-07-16,"Madison",393,242,353,326
"504",2021-07-18,"Madison",149,293,67,280
"505",2021-07-19,"Madison",98,194,113,219
"506",2021-07-19,"MMSD-P18",61,7,66,12
"507",2021-07-19,"MMSD-P11",58,44,48,32
"508",2021-07-19,"MMSD-P8",55,59,60,43
"509",2021-07-19,"MMSD-P7",69,63,46,42
"510",2021-07-19,"MMSD-P2",52,38,107,107
"511",2021-07-20,"Madison",197,147,174,170
"512",2021-07-21,"Madison",244,123,223,102
"513",2021-07-22,"Madison",268,207,291,272
"514",2021-07-22,"MMSD-P2",65,33,108,35
"515",2021-07-22,"MMSD-P7",39,53,55,58
"516",2021-07-22,"MMSD-P8",37,56,55,56
"517",2021-07-22,"MMSD-P11",57,36,63,31
"518",2021-07-22,"MMSD-P18",98,97,93,91
"519",2021-07-23,"Madison",184,236,121,234
"520",2021-07-25,"Madison",155,66,159,74
"521",2021-07-26,"Madison",325,321,319,296
"522",2021-07-26,"MMSD-P7",49,19,39,14
"523",2021-07-26,"MMSD-P2",70,19,61,18
"524",2021-07-26,"MMSD-P8",40,9,42,13
"525",2021-07-26,"MMSD-P18",8,56,14,38
"526",2021-07-26,"MMSD-P11",65,49,64,50
"527",2021-07-27,"Madison",70,38,97,63
"528",2021-07-28,"Madison",353,343,330,321
"529",2021-07-29,"Madison",48,172,72,89
"530",2021-07-29,"MMSD-P2",84,78,78,64
"531",2021-07-29,"MMSD-P7",83,69,83,69
"532",2021-07-29,"MMSD-P8",87,88,85,81
"533",2021-07-29,"MMSD-P11",52,66,45,34
"534",2021-07-29,"MMSD-P18",49,62,67,72
"535",2021-07-30,"Madison",219,145,304,247
"536",2021-08-01,"Madison",246,226,146,233
"537",2021-08-02,"MMSD-P2",25,39,32,66
"538",2021-08-02,"MMSD-P7",33,48,28,57
"539",2021-08-02,"MMSD-P8",8,30,17,52
"540",2021-08-02,"MMSD-P11",35,46,61,55
"541",2021-08-02,"MMSD-P18",43,57,33,56
"542",2021-08-02,"Madison",165,202,160,292
"543",2021-08-03,"Madison",189,140,101,146
"544",2021-08-04,"Madison",251,284,247,244
"545",2021-08-05,"Madison",107,144,149,212
"546",2021-08-05,"MMSD-P8",66,25,46,44
"547",2021-08-05,"MMSD-P7",54,31,40,26
