"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"265",2021-07-15,"MMSD-P7",273,281,294,231,7634,13677,-294
"266",2021-07-15,"MMSD-P8",250,238,300,268,12156,5196,-300
"267",2021-07-15,"MMSD-P11",293,315,263,283,3979,6856,-315
"268",2021-07-15,"MMSD-P18",216,362,248,398,21929,13277,-398
"269",2021-07-19,"MMSD-P18",169,161,133,133,66857,85523,-169
"270",2021-07-19,"MMSD-P11",370,307,398,292,15468,3804,-398
"271",2021-07-19,"MMSD-P8",224,283,239,252,29755,14495,-283
"272",2021-07-19,"MMSD-P7",248,201,279,220,35016,12960,-279
"273",2021-07-19,"MMSD-P2",330,340,311,364,10939,0,-364
"274",2021-07-22,"MMSD-P2",191,213,167,206,40999,48434,-213
"275",2021-07-22,"MMSD-P7",318,251,325,241,24240,25981,-325
"276",2021-07-22,"MMSD-P8",280,276,290,273,20382,21015,-290
"277",2021-07-22,"MMSD-P11",255,513,258,498,22830,24958,-513
"278",2021-07-22,"MMSD-P18",18,20,33,35,578837,426064,-35
"279",2021-07-26,"MMSD-P7",511,385,496,389,22234,18735,-511
"280",2021-07-26,"MMSD-P2",146,139,142,150,87920,86185,-150
"281",2021-07-26,"MMSD-P8",392,400,381,363,14820,17825,-400
"282",2021-07-26,"MMSD-P18",131,172,168,234,96259,65563,-234
"283",2021-07-26,"MMSD-P11",359,442,297,455,56082,57844,-455
"284",2021-07-29,"MMSD-P2",89,136,76,132,194537,216315,-136
"285",2021-07-29,"MMSD-P7",395,420,399,369,119067,134405,-420
"286",2021-07-29,"MMSD-P8",111,78,162,92,229833,188581,-162
"287",2021-07-29,"MMSD-P11",453,353,439,417,58331,51614,-453
"288",2021-07-29,"MMSD-P18",178,355,114,332,94436,140785,-355
"289",2021-08-02,"MMSD-P2",176,187,199,126,131437,171312,-199
"290",2021-08-02,"MMSD-P7",344,193,405,311,98507,81426,-405
"291",2021-08-02,"MMSD-P8",338,186,220,190,69165,100159,-338
"292",2021-08-02,"MMSD-P11",345,334,341,226,35873,72330,-345
"293",2021-08-02,"MMSD-P18",197,365,305,348,61784,61507,-365
"294",2021-08-05,"MMSD-P8",166,239,183,201,109143,99190,-239
"295",2021-08-05,"MMSD-P7",292,373,330,366,101092,74736,-373
"296",2021-08-05,"MMSD-P2",158,122,165,158,153028,123671,-165
"297",2021-08-05,"MMSD-P18",409,214,373,222,59461,70168,-409
"298",2021-08-05,"MMSD-P11",317,416,309,453,42797,58522,-453
"299",2021-08-09,"MMSD-P2",115,234,78,145,150843,213641,-234
"300",2021-08-09,"MMSD-P7",297,319,386,178,140813,142025,-386
"301",2021-08-09,"MMSD-P8",212,173,353,269,160126,104446,-353
"302",2021-08-09,"MMSD-P11",358,424,262,429,120729,106313,-429
"303",2021-08-09,"MMSD-P18",107,135,102,122,236275,220802,-135
"304",2021-08-12,"MMSD-P2",396,146,409,174,160187,129263,-409
"305",2021-08-12,"MMSD-P7",385,343,357,327,99234,86813,-385
"306",2021-08-12,"MMSD-P8",188,231,204,189,131292,114183,-231
"307",2021-08-12,"MMSD-P11",300,358,342,432,120280,85580,-432
"308",2021-08-12,"MMSD-P18",173,157,99,135,160773,205604,-173
"309",2021-08-16,"MMSD-P2",374,476,396,426,107352,125771,-476
"310",2021-08-16,"MMSD-P7",55,82,105,109,331327,235979,-109
"311",2021-08-16,"MMSD-P8",449,145,422,169,162214,128951,-449
"312",2021-08-16,"MMSD-P11",386,427,362,393,99710,81994,-427
"313",2021-08-16,"MMSD-P18",104,99,138,147,218194,151239,-147
"314",2021-08-19,"MMSD-P2",432,399,384,411,90550,80262,-432
"315",2021-08-19,"MMSD-P7",132,137,120,115,170462,167627,-137
"316",2021-08-19,"MMSD-P8",394,152,416,176,95696,71785,-416
"317",2021-08-19,"MMSD-P11",379,378,355,404,38980,30963,-404
"318",2021-08-19,"MMSD-P18",153,491,127,479,95613,106556,-491
"319",2021-08-23,"MMSD-P2",40,67,52,59,366455,332122,-67
"320",2021-08-23,"MMSD-P7",464,206,472,243,173577,95084,-472
"321",2021-08-23,"MMSD-P8",325,228,288,312,152635,90379,-325
"322",2021-08-23,"MMSD-P11",303,257,219,410,141556,110186,-410
"323",2021-08-23,"MMSD-P18",274,439,121,374,139118,193304,-439
"324",2021-08-26,"MMSD-P2",92,404,157,151,273936,250986,-404
"325",2021-08-26,"MMSD-P7",127,61,380,208,359455,182838,-380
"326",2021-08-26,"MMSD-P8",470,470,323,425,145199,162256,-470
"327",2021-08-26,"MMSD-P11",61,40,106,62,359031,264249,-106
"328",2021-08-26,"MMSD-P18",491,447,469,467,42180,35173,-491
"329",2021-08-30,"MMSD-P2",84,200,64,264,194907,215387,-264
"330",2021-08-30,"MMSD-P7",331,117,267,100,170215,215924,-331
"331",2021-08-30,"MMSD-P8",414,481,431,433,68780,95017,-481
"332",2021-08-30,"MMSD-P11",50,72,98,113,311116,219444,-113
"333",2021-08-30,"MMSD-P18",459,350,418,381,130515,121501,-459
"334",2021-09-02,"MMSD-P2",181,194,150,161,164940,183175,-194
"335",2021-09-02,"MMSD-P7",337,271,370,318,135947,130704,-370
"336",2021-09-02,"MMSD-P8",260,205,213,242,136673,152819,-260
"337",2021-09-02,"MMSD-P11",326,408,289,370,115710,147884,-408
"338",2021-09-02,"MMSD-P18",123,292,161,274,205170,202696,-292
"339",2021-09-06,"MMSD-P2",239,162,257,138,213037,206867,-257
"340",2021-09-06,"MMSD-P7",369,446,393,442,163442,130911,-446
"341",2021-09-06,"MMSD-P8",85,164,89,152,313893,269695,-164
"342",2021-09-06,"MMSD-P11",367,155,379,294.5,265565,201648,-379
"343",2021-09-06,"MMSD-P18",376,423,236.5,430,211195,213084,-430
"344",2021-09-09,"MMSD-P2",108,79,101,61,326679,329616,-108
"345",2021-09-09,"MMSD-P7",452,166,470,360,155180,100250,-470
"346",2021-09-09,"MMSD-P8",365,490,171,461,108466,145928,-490
"347",2021-09-09,"MMSD-P11",41,104,70,112,379248,316124,-112
"348",2021-09-09,"MMSD-P18",427,92,419,139,266621,214073,-427
"349",2021-09-13,"MMSD-P2",439,508,392,501,125414,138429,-508
"350",2021-09-13,"MMSD-P7",23,27,30,31,596855,570164,-31
"351",2021-09-13,"MMSD-P8",504,175,500,181,184090,135755,-504
"352",2021-09-13,"MMSD-P11",356,421,350,473,147638,100411,-473
"353",2021-09-13,"MMSD-P18",110,397,58,317,260056,302782,-397
"354",2021-09-16,"MMSD-P2",134,93,214,104,339401,324637,-214
"355",2021-09-16,"MMSD-P7",438,191,427,111,202045,208691,-438
"356",2021-09-16,"MMSD-P8",340,428,420,445,172264,104137,-445
"357",2021-09-16,"MMSD-P11",103,224,86,344,295856,245147,-344
"358",2021-09-16,"MMSD-P18",307,118,187,136,283711,280357,-307
"359",2021-09-20,"MMSD-P18",413,160,395,172,185561,200564,-413
"360",2021-09-20,"MMSD-P11",371,387,359,187,134140,155564,-387
"361",2021-09-20,"MMSD-P8",144,468,344,502,201274,125966,-502
"362",2021-09-20,"MMSD-P7",63,248,29,60,410824,569744,-248
"363",2021-09-20,"MMSD-P2",283,49,471,67,405818,337074,-471
"364",2021-09-23,"MMSD-P2",482,505,464,496,148392,141990,-505
"365",2021-09-23,"MMSD-P7",26,28,35,38,562138,514592,-38
"366",2021-09-23,"MMSD-P8",503,272,493,180,150968,168548,-503
"367",2021-09-23,"MMSD-P11",259,466,351,424,152471,133163,-466
"368",2021-09-23,"MMSD-P18",65,198,107,240,357579,234380,-240
"369",2021-09-27,"MMSD-P2",333,170,291,335,331138,229065,-335
"370",2021-09-27,"MMSD-P7",361,182,196,114,290610,260616,-361
"371",2021-09-27,"MMSD-P8",349,110,417,195,256231,164749,-417
"372",2021-09-27,"MMSD-P11",421,482,336,474,148111,138573,-482
"373",2021-09-27,"MMSD-P18",49,148,57,444,393878,341481,-444
"374",2021-09-30,"MMSD-P2",383,121,87,65,336189,481682,-383
"375",2021-09-30,"MMSD-P7",410,391,466,421,241359,285022,-466
"376",2021-09-30,"MMSD-P8",140,459,110,427,312241,378760,-459
"377",2021-09-30,"MMSD-P11",72,332,104,416,494627,492228,-416
"378",2021-09-30,"MMSD-P18",199,26,115,26,519460,581387,-199
